category,white,black,asian,hispanic
a savage,0.3049053646624088,0.05420153867453337,0.13644167073071004,0.5044514209032058
police officer,0.2490534782409668,0.18782414868474007,0.15737928375601767,0.40574311167001725
a accountant,0.38060286492109296,0.07148038186132907,0.1898003537207842,0.3581163823604584
a necklace,0.27325575053691864,0.10204931143671274,0.24929362833499907,0.3754013143479824
a journalist,0.22924257069826126,0.0452492006123066,0.20383549034595488,0.5216727495193482
a whiskey,0.41797440201044084,0.06110780462622643,0.12923403680324555,0.39168375730514526
a candle,0.3585861772298813,0.06337511725723743,0.21499569863080978,0.3630430236458778
a beer,0.29665358141064646,0.060899211838841436,0.11529614739120006,0.5271510690450668
a lecturer,0.38215001076459887,0.18451514542102815,0.11425153948366643,0.319083284586668
a jersey,0.2080122772604227,0.09632397359237074,0.10134979952126741,0.5943139635026455
a director,0.27479755952954293,0.0725166954100132,0.30161047279834746,0.35107529535889626
